SUPPLIER_ID,SUPPLIER_NAME,SUPPLIER_PHONE,SUPPLIER_EMAIL
S001,TechWorld Inc.,788070809,techworld@gmail.com
S002,FashionHub LLC,790919293,fashionhub@yahoo.com
S003,HomeEssentials Co.,788030405,homeessentials@outlook.com
S004,OutdoorGear Pro,777454456,outdoorgear@hotmail.com
S005,BeautyEmporium Ltd.,745253695,beautyemporium@yahoo.com
S006,BookWorld Inc.,789895623,bookworld@outlook.com
S007,ToyGalaxy Ltd.,784152535,toygalaxy@outlook.com
S008,HealthPlus Inc.,741235689,healthplus@yahoo.com
S009,PetParadise Ltd.,745454589,petparadise@outlook.com
S010,BabyZone Inc.,745124578,babyzone@outlook.com
S011,JewelMart Ltd.,790451278,jewelmart@outlook.com
S012,GrocerEase Co.,746568914,grocerease@yahoo.com
S013,OfficeSolutions Inc.,723894578,officesolutions@gmail.com
S014,AutoTech Ltd.,777111333,autotech@outlook.com
S015,CraftyCorner Inc.,778888888,craftycorner@gmail.com
